ip,name
200.204.0.10,vivo fibra
200.204.0.138,vivo fibra
200.175.182.139,GVT
200.175.5.139,GVT
200.175.5.139,GVT
200.175.89.139,GVT
200.175.89.139,GVT
200.175.5.139,GVT
189.38.95.95,gigadns.com.br
189.38.95.96,gigadns.com.br
200.221.11.98,Uol
200.147.255.105,uol
200.246.5.2,uol
200.246.5.87,Uol
199.85.126.10,Norton ConnectSafe
199.85.127.10,Norton ConnectSafe
8.26.56.26,Comodo Secure DNS 1
8.20.247.20,Comodo Secure DNS 2
194.150.168.168,got it from https://public-dns.info/nameservers-all.txt
216.106.184.6,got it from https://public-dns.info/nameservers-all.txt
208.116.30.21,got it from https://public-dns.info/nameservers-all.txt
208.79.56.204,got it from https://public-dns.info/nameservers-all.txt
66.163.0.173,got it from https://public-dns.info/nameservers-all.txt
66.163.0.161,got it from https://public-dns.info/nameservers-all.txt
216.254.141.2,got it from https://public-dns.info/nameservers-all.txt
137.82.1.1,got it from https://public-dns.info/nameservers-all.txt
194.25.0.68,got it from https://public-dns.info/nameservers-all.txt
202.14.67.14,got it from https://public-dns.info/nameservers-all.txt
202.136.162.11,got it from https://public-dns.info/nameservers-all.txt
212.118.241.1,got it from https://public-dns.info/nameservers-all.txt
158.43.128.72,got it from https://public-dns.info/nameservers-all.txt
212.118.241.33,got it from https://public-dns.info/nameservers-all.txt
195.166.13.4,got it from https://public-dns.info/nameservers-all.txt
158.43.240.4,got it from https://public-dns.info/nameservers-all.txt
216.52.254.1,got it from https://public-dns.info/nameservers-all.txt
69.54.70.15,got it from https://public-dns.info/nameservers-all.txt
64.94.1.1,got it from https://public-dns.info/nameservers-all.txt
63.251.161.1,got it from https://public-dns.info/nameservers-all.txt
69.60.160.203,got it from https://public-dns.info/nameservers-all.txt
208.78.24.238,got it from https://public-dns.info/nameservers-all.txt
8.5.244.5,got it from https://public-dns.info/nameservers-all.txt
216.52.254.33,got it from https://public-dns.info/nameservers-all.txt
206.253.194.97,got it from https://public-dns.info/nameservers-all.txt
64.94.33.33,got it from https://public-dns.info/nameservers-all.txt
64.94.33.1,got it from https://public-dns.info/nameservers-all.txt
4.2.2.1,got it from https://public-dns.info/nameservers-all.txt
4.2.2.2,got it from https://public-dns.info/nameservers-all.txt
4.2.2.3,got it from https://public-dns.info/nameservers-all.txt
4.2.2.4,got it from https://public-dns.info/nameservers-all.txt
4.2.2.5,got it from https://public-dns.info/nameservers-all.txt
4.2.2.6,got it from https://public-dns.info/nameservers-all.txt
199.2.252.10,got it from https://public-dns.info/nameservers-all.txt
204.97.212.10,got it from https://public-dns.info/nameservers-all.txt
204.117.214.10,got it from https://public-dns.info/nameservers-all.txt
141.1.1.1,got it from https://public-dns.info/nameservers-all.txt
213.239.204.35,got it from https://public-dns.info/nameservers-all.txt
62.134.11.4,got it from https://public-dns.info/nameservers-all.txt
195.182.110.132,got it from https://public-dns.info/nameservers-all.txt
194.25.0.52,got it from https://public-dns.info/nameservers-all.txt
212.211.132.4,got it from https://public-dns.info/nameservers-all.txt
213.68.194.51,got it from https://public-dns.info/nameservers-all.txt
195.243.214.4,got it from https://public-dns.info/nameservers-all.txt
141.1.27.249,got it from https://public-dns.info/nameservers-all.txt
80.237.197.14,got it from https://public-dns.info/nameservers-all.txt
217.28.98.62,got it from https://public-dns.info/nameservers-all.txt
82.96.64.2,got it from https://public-dns.info/nameservers-all.txt
82.96.65.2,got it from https://public-dns.info/nameservers-all.txt
194.25.0.60,got it from https://public-dns.info/nameservers-all.txt
193.101.111.10,got it from https://public-dns.info/nameservers-all.txt
193.101.111.20,got it from https://public-dns.info/nameservers-all.txt
192.76.144.66,got it from https://public-dns.info/nameservers-all.txt
195.186.1.111,got it from https://public-dns.info/nameservers-all.txt
209.191.129.1,got it from https://public-dns.info/nameservers-all.txt
216.185.192.1,got it from https://public-dns.info/nameservers-all.txt
200.95.144.3,got it from https://public-dns.info/nameservers-all.txt
195.186.4.111,got it from https://public-dns.info/nameservers-all.txt
195.186.4.110,got it from https://public-dns.info/nameservers-all.txt
200.95.144.4,got it from https://public-dns.info/nameservers-all.txt
64.212.106.84,got it from https://public-dns.info/nameservers-all.txt
216.52.65.33,got it from https://public-dns.info/nameservers-all.txt
63.251.62.1,got it from https://public-dns.info/nameservers-all.txt
203.89.226.24,got it from https://public-dns.info/nameservers-all.txt
203.89.226.26,got it from https://public-dns.info/nameservers-all.txt
62.149.132.2,got it from https://public-dns.info/nameservers-all.txt
202.14.67.4,got it from https://public-dns.info/nameservers-all.txt
63.251.129.1,got it from https://public-dns.info/nameservers-all.txt
216.52.129.1,got it from https://public-dns.info/nameservers-all.txt
63.251.161.33,got it from https://public-dns.info/nameservers-all.txt
216.147.131.33,got it from https://public-dns.info/nameservers-all.txt
63.251.129.33,got it from https://public-dns.info/nameservers-all.txt
216.52.94.1,got it from https://public-dns.info/nameservers-all.txt
193.95.93.77,got it from https://public-dns.info/nameservers-all.txt
129.250.35.251,got it from https://public-dns.info/nameservers-all.txt
209.244.0.4,got it from https://public-dns.info/nameservers-all.txt
209.130.139.2,got it from https://public-dns.info/nameservers-all.txt
216.194.28.33,got it from https://public-dns.info/nameservers-all.txt
209.244.0.3,got it from https://public-dns.info/nameservers-all.txt
209.191.129.65,got it from https://public-dns.info/nameservers-all.txt
207.69.188.189,got it from https://public-dns.info/nameservers-all.txt
207.69.188.184,got it from https://public-dns.info/nameservers-all.txt
8.15.12.5,got it from https://public-dns.info/nameservers-all.txt
216.52.129.33,got it from https://public-dns.info/nameservers-all.txt
207.69.188.188,got it from https://public-dns.info/nameservers-all.txt
62.149.128.2,got it from https://public-dns.info/nameservers-all.txt
206.253.194.65,got it from https://public-dns.info/nameservers-all.txt
